iter	Passed	Remaining
549	3935	3220
550	3942	3212
551	3948	3204
552	3955	3196
553	3961	3189
554	3967	3181
555	3974	3173
556	3980	3165
557	3987	3158
558	3993	3150
559	4000	3143
560	4006	3135
561	4013	3127
562	4018	3119
563	4025	3111
564	4031	3103
565	4036	3095
566	4043	3088
567	4049	3080
568	4056	3072
569	4062	3064
570	4068	3056
571	4075	3049
572	4081	3041
573	4088	3034
574	4094	3026
575	4100	3018
576	4107	3011
577	4114	3003
578	4120	2996
579	4127	2988
580	4133	2980
581	4139	2973
582	4146	2966
583	4153	2958
584	4159	2950
585	4165	2943
586	4173	2936
587	4181	2929
588	4188	2922
589	4196	2916
590	4204	2909
591	4211	2902
592	4218	2895
593	4225	2888
594	4233	2881
595	4240	2874
596	4248	2867
597	4255	2860
598	4262	2853
599	4269	2846
600	4276	2838
601	4282	2831
602	4288	2823
603	4294	2815
604	4300	2807
605	4307	2800
606	4313	2792
607	4320	2785
608	4326	2777
609	4332	2770
610	4339	2762
611	4345	2755
612	4352	2748
613	4359	2740
614	4366	2733
615	4373	2726
616	4380	2719
617	4387	2712
618	4394	2704
619	4401	2697
620	4407	2689
621	4413	2682
622	4419	2674
623	4425	2666
624	4432	2659
625	4438	2651
626	4445	2644
627	4452	2637
628	4458	2629
629	4465	2622
630	4471	2614
631	4478	2607
632	4484	2600
633	4491	2592
634	4497	2585
635	4503	2577
636	4509	2569
637	4516	2562
638	4522	2554
639	4528	2547
640	4535	2539
641	4541	2532
642	4548	2525
643	4554	2517
644	4560	2510
645	4567	2503
646	4573	2495
647	4580	2488
648	4586	2480
649	4592	2473
650	4599	2465
651	4605	2458
652	4612	2450
653	4618	2443
654	4624	2435
655	4631	2428
656	4637	2420
657	4643	2413
658	4649	2405
659	4655	2398
660	4662	2391
661	4668	2383
662	4674	2376
663	4681	2368
664	4687	2361
665	4694	2354
666	4700	2346
667	4706	2339
668	4712	2331
669	4718	2324
670	4725	2316
671	4730	2309
672	4737	2301
673	4744	2294
674	4750	2287
675	4757	2280
676	4763	2272
677	4770	2265
678	4776	2258
679	4783	2250
680	4789	2243
681	4795	2235
682	4801	2228
683	4808	2221
684	4814	2213
685	4820	2206
686	4827	2199
687	4834	2192
688	4840	2184
689	4847	2177
690	4853	2170
691	4860	2163
692	4866	2155
693	4873	2148
694	4880	2141
695	4886	2134
696	4893	2127
697	4900	2120
698	4906	2113
699	4913	2105
700	4919	2098
701	4925	2090
702	4931	2083
703	4938	2076
704	4944	2069
705	4951	2061
706	4957	2054
707	4963	2047
708	4970	2040
709	4977	2033
710	4983	2025
711	4990	2018
712	4996	2011
713	5002	2003
714	5009	1996
715	5015	1989
716	5022	1982
717	5028	1974
718	5034	1967
719	5040	1960
720	5046	1952
721	5053	1945
722	5059	1938
723	5065	1931
724	5072	1924
725	5078	1916
726	5085	1909
727	5092	1902
728	5098	1895
729	5105	1888
730	5111	1881
731	5117	1873
732	5124	1866
733	5131	1859
734	5138	1852
735	5144	1845
736	5150	1838
737	5157	1830
738	5163	1823
739	5170	1816
740	5176	1809
741	5182	1802
742	5189	1794
743	5195	1787
744	5201	1780
745	5208	1773
746	5214	1766
747	5220	1758
748	5226	1751
749	5233	1744
750	5240	1737
751	5246	1730
752	5253	1723
753	5259	1715
754	5266	1709
755	5272	1701
756	5279	1694
757	5286	1687
758	5292	1680
759	5299	1673
760	5305	1666
761	5311	1659
762	5318	1651
763	5324	1644
764	5330	1637
765	5336	1630
766	5342	1623
767	5349	1615
768	5355	1608
769	5362	1601
770	5368	1594
771	5374	1587
772	5381	1580
773	5387	1573
774	5394	1566
775	5401	1559
776	5407	1552
777	5414	1544
778	5420	1537
779	5426	1530
780	5432	1523
781	5438	1516
782	5445	1509
783	5451	1501
784	5457	1494
785	5463	1487
786	5469	1480
787	5476	1473
788	5483	1466
789	5489	1459
790	5496	1452
791	5502	1445
792	5508	1438
793	5515	1431
794	5521	1423
795	5528	1416
796	5534	1409
797	5541	1402
798	5547	1395
799	5553	1388
800	5560	1381
801	5566	1374
802	5573	1367
803	5579	1360
804	5585	1353
805	5592	1346
806	5598	1338
807	5604	1331
808	5611	1324
809	5618	1317
810	5624	1310
811	5630	1303
812	5636	1296
813	5643	1289
814	5649	1282
815	5656	1275
816	5662	1268
817	5668	1261
818	5674	1254
819	5681	1247
820	5687	1240
821	5693	1233
822	5700	1225
823	5707	1219
824	5714	1212
825	5720	1205
826	5727	1198
827	5733	1190
828	5739	1183
829	5746	1176
830	5752	1169
831	5759	1162
832	5765	1155
833	5771	1148
834	5777	1141
835	5783	1134
836	5790	1127
837	5797	1120
838	5803	1113
839	5810	1106
840	5816	1099
841	5823	1092
842	5829	1085
843	5836	1078
844	5842	1071
845	5848	1064
846	5855	1057
847	5861	1050
848	5867	1043
849	5874	1036
850	5880	1029
851	5887	1022
852	5893	1015
853	5900	1008
854	5906	1001
855	5913	994
856	5920	987
857	5926	980
858	5933	973
859	5939	966
860	5945	959
861	5952	952
862	5958	945
863	5964	938
864	5971	931
865	5977	924
866	5984	918
867	5990	911
868	5997	904
869	6004	897
870	6010	890
871	6016	883
872	6023	876
873	6029	869
874	6036	862
875	6042	855
876	6048	848
877	6055	841
878	6061	834
879	6067	827
880	6073	820
881	6079	813
882	6086	806
883	6092	799
884	6098	792
885	6105	785
886	6111	778
887	6118	771
888	6124	764
889	6131	757
890	6137	750
891	6144	743
892	6150	736
893	6156	729
894	6163	723
895	6169	716
896	6175	709
897	6181	702
898	6188	695
899	6194	688
900	6200	681
901	6206	674
902	6213	667
903	6219	660
904	6226	653
905	6232	646
906	6238	639
907	6245	632
908	6251	625
909	6258	618
910	6264	612
911	6271	605
912	6277	598
913	6284	591
914	6290	584
915	6296	577
916	6302	570
917	6309	563
918	6315	556
919	6322	549
920	6328	542
921	6336	536
922	6344	529
923	6351	522
924	6359	515
925	6367	508
926	6374	502
927	6381	495
928	6389	488
929	6396	481
930	6403	474
931	6411	467
932	6418	460
933	6426	454
934	6433	447
935	6449	440
936	6461	434
937	6474	427
938	6486	421
939	6499	414
940	6508	408
941	6518	401
942	6530	394
943	6537	387
944	6544	380
945	6550	373
946	6557	367
947	6564	360
948	6571	353
949	6578	346
950	6584	339
951	6591	332
952	6597	325
953	6603	318
954	6610	311
955	6616	304
956	6623	297
957	6629	290
958	6635	283
959	6642	276
960	6648	269
961	6654	262
962	6660	255
963	6666	248
964	6673	242
965	6679	235
966	6686	228
967	6692	221
968	6699	214
969	6706	207
970	6712	200
971	6719	193
972	6725	186
973	6732	179
974	6738	172
975	6745	165
976	6751	158
977	6757	152
978	6764	145
979	6771	138
980	6778	131
981	6786	124
982	6793	117
983	6801	110
984	6808	103
985	6815	96
986	6822	89
987	6830	82
988	6838	76
989	6846	69
990	6854	62
991	6862	55
992	6870	48
993	6877	41
994	6885	34
995	6892	27
996	6900	20
997	6908	13
998	6916	6
999	6924	0
